date,product_id,product_name,category,order_category,units_sold,price,revenue,stock_level,promotion,day_of_week,month,quarter,year
2023-01-26,PROD_0001,Product 0001,Home & Garden,Home & Garden,137,294.03,40281.97,895,0,Thursday,1,1,2023
2023-01-27,PROD_0001,Product 0001,Home & Garden,Home & Garden,133,269.33,35821.2,956,0,Friday,1,1,2023
2023-01-28,PROD_0001,Product 0001,Home & Garden,Home & Garden,188,460.58,86589.3,416,0,Saturday,1,1,2023
2023-01-29,PROD_0001,Product 0001,Home & Garden,Home & Garden,130,112.32,14601.86,252,0,Sunday,1,1,2023
2023-01-30,PROD_0001,Product 0001,Home & Garden,Home & Garden,95,315.11,29935.77,775,0,Monday,1,1,2023
2023-01-31,PROD_0001,Product 0001,Home & Garden,Home & Garden,88,137.63,12111.54,825,0,Tuesday,1,1,2023
2023-02-01,PROD_0001,Product 0001,Home & Garden,Home & Garden,166,342.2,56805.69,419,0,Wednesday,2,1,2023
2023-02-02,PROD_0001,Product 0001,Home & Garden,Home & Garden,131,220.48,28883.06,738,1,Thursday,2,1,2023
2023-02-03,PROD_0001,Product 0001,Home & Garden,Home & Garden,143,206.75,29565.47,998,0,Friday,2,1,2023
2023-02-04,PROD_0001,Product 0001,Home & Garden,Home & Garden,175,131.48,23008.54,278,0,Saturday,2,1,2023
2023-02-05,PROD_0001,Product 0001,Home & Garden,Home & Garden,208,65.4,13604.04,61,0,Sunday,2,1,2023
2023-02-06,PROD_0001,Product 0001,Home & Garden,Home & Garden,85,53.72,4566.57,444,1,Monday,2,1,2023
2023-02-07,PROD_0001,Product 0001,Home & Garden,Home & Garden,105,52.75,5539.03,717,0,Tuesday,2,1,2023
2023-02-08,PROD_0001,Product 0001,Home & Garden,Home & Garden,91,46.66,4246.09,395,0,Wednesday,2,1,2023
2023-02-09,PROD_0001,Product 0001,Home & Garden,Home & Garden,33,356.67,11770.18,150,0,Thursday,2,1,2023
2023-02-10,PROD_0001,Product 0001,Home & Garden,Home & Garden,181,502.86,91018.53,953,0,Friday,2,1,2023
2023-02-11,PROD_0001,Product 0001,Home & Garden,Home & Garden,183,54.6,9991.22,652,0,Saturday,2,1,2023
2023-02-12,PROD_0001,Product 0001,Home & Garden,Home & Garden,201,82.05,16492.95,421,1,Sunday,2,1,2023
2023-02-13,PROD_0001,Product 0001,Home & Garden,Home & Garden,123,188.39,23171.89,499,0,Monday,2,1,2023
2023-02-14,PROD_0001,Product 0001,Home & Garden,Home & Garden,134,189.17,25348.56,786,0,Tuesday,2,1,2023
2023-02-15,PROD_0001,Product 0001,Home & Garden,Home & Garden,153,279.32,42735.91,857,0,Wednesday,2,1,2023
2023-02-16,PROD_0001,Product 0001,Home & Garden,Home & Garden,84,211.53,17768.53,659,0,Thursday,2,1,2023
2023-02-17,PROD_0001,Product 0001,Home & Garden,Home & Garden,117,69.6,8143.76,0,0,Friday,2,1,2023
2023-02-18,PROD_0001,Product 0001,Home & Garden,Home & Garden,148,223.72,33110.37,928,0,Saturday,2,1,2023
2023-02-19,PROD_0001,Product 0001,Home & Garden,Home & Garden,116,434.95,50454.52,671,0,Sunday,2,1,2023
2023-02-20,PROD_0001,Product 0001,Home & Garden,Home & Garden,122,501.89,61230.78,675,0,Monday,2,1,2023
2023-02-21,PROD_0001,Product 0001,Home & Garden,Home & Garden,126,487.2,61387.02,232,0,Tuesday,2,1,2023
2023-02-22,PROD_0001,Product 0001,Home & Garden,Home & Garden,104,402.01,41808.64,329,1,Wednesday,2,1,2023
2023-02-23,PROD_0001,Product 0001,Home & Garden,Home & Garden,173,442.27,76513.02,667,0,Thursday,2,1,2023
2023-02-24,PROD_0001,Product 0001,Home & Garden,Home & Garden,142,189.41,26896.74,539,0,Friday,2,1,2023
2023-02-25,PROD_0001,Product 0001,Home & Garden,Home & Garden,130,534.85,69531.08,501,0,Saturday,2,1,2023
2023-02-26,PROD_0001,Product 0001,Home & Garden,Home & Garden,144,291.37,41957.99,908,1,Sunday,2,1,2023
2023-02-27,PROD_0001,Product 0001,Home & Garden,Home & Garden,84,450.2,37816.85,255,0,Monday,2,1,2023
2023-02-28,PROD_0001,Product 0001,Home & Garden,Home & Garden,133,89.16,11857.98,373,0,Tuesday,2,1,2023
2023-03-01,PROD_0001,Product 0001,Home & Garden,Home & Garden,164,459.24,75315.84,852,0,Wednesday,3,1,2023
2023-03-02,PROD_0001,Product 0001,Home & Garden,Home & Garden,167,263.63,44026.88,104,0,Thursday,3,1,2023
2023-03-03,PROD_0001,Product 0001,Home & Garden,Home & Garden,123,131.2,16137.08,517,0,Friday,3,1,2023
2023-03-04,PROD_0001,Product 0001,Home & Garden,Home & Garden,236,465.24,109797.01,564,1,Saturday,3,1,2023
2023-03-05,PROD_0001,Product 0001,Home & Garden,Home & Garden,182,404.78,73670.82,77,0,Sunday,3,1,2023
2023-03-06,PROD_0001,Product 0001,Home & Garden,Home & Garden,109,119.98,13077.71,487,0,Monday,3,1,2023
2023-03-07,PROD_0001,Product 0001,Home & Garden,Home & Garden,106,171.16,18143.25,153,0,Tuesday,3,1,2023
2023-03-08,PROD_0001,Product 0001,Home & Garden,Home & Garden,171,170.99,29238.69,235,0,Wednesday,3,1,2023
2023-03-09,PROD_0001,Product 0001,Home & Garden,Home & Garden,131,431.08,56470.86,623,0,Thursday,3,1,2023
2023-03-10,PROD_0001,Product 0001,Home & Garden,Home & Garden,175,343.01,60026.83,102,0,Friday,3,1,2023
2023-03-11,PROD_0001,Product 0001,Home & Garden,Home & Garden,159,16.62,2641.8,97,0,Saturday,3,1,2023
2023-03-12,PROD_0001,Product 0001,Home & Garden,Home & Garden,141,369.41,52086.39,480,0,Sunday,3,1,2023
2023-03-13,PROD_0001,Product 0001,Home & Garden,Home & Garden,137,209.29,28673.36,562,0,Monday,3,1,2023
2023-03-14,PROD_0001,Product 0001,Home & Garden,Home & Garden,128,445.36,57005.45,851,0,Tuesday,3,1,2023
2023-03-15,PROD_0001,Product 0001,Home & Garden,Home & Garden,175,489.49,85661.14,204,0,Wednesday,3,1,2023
2023-03-16,PROD_0001,Product 0001,Home & Garden,Home & Garden,80,271.08,21686.36,847,0,Thursday,3,1,2023
2023-03-17,PROD_0001,Product 0001,Home & Garden,Home & Garden,161,80.22,12916.01,359,0,Friday,3,1,2023
2023-03-18,PROD_0001,Product 0001,Home & Garden,Home & Garden,212,287.3,60907.75,60,0,Saturday,3,1,2023
2023-03-19,PROD_0001,Product 0001,Home & Garden,Home & Garden,165,28.04,4626.19,603,0,Sunday,3,1,2023
2023-03-20,PROD_0001,Product 0001,Home & Garden,Home & Garden,135,264.04,35645.03,45,0,Monday,3,1,2023
2023-03-21,PROD_0001,Product 0001,Home & Garden,Home & Garden,119,266.45,31707.35,72,0,Tuesday,3,1,2023
2023-03-22,PROD_0001,Product 0001,Home & Garden,Home & Garden,192,242.83,46622.58,47,0,Wednesday,3,1,2023
2023-03-23,PROD_0001,Product 0001,Home & Garden,Home & Garden,128,154.59,19787.64,624,0,Thursday,3,1,2023
2023-03-24,PROD_0001,Product 0001,Home & Garden,Home & Garden,134,438.36,58739.76,27,0,Friday,3,1,2023
2023-03-25,PROD_0001,Product 0001,Home & Garden,Home & Garden,186,248.35,46193.92,525,0,Saturday,3,1,2023
2023-03-26,PROD_0001,Product 0001,Home & Garden,Home & Garden,189,444.93,84092.19,507,0,Sunday,3,1,2023
2023-03-27,PROD_0001,Product 0001,Home & Garden,Home & Garden,111,230.73,25610.75,14,0,Monday,3,1,2023
2023-03-28,PROD_0001,Product 0001,Home & Garden,Home & Garden,111,305.85,33949.89,85,0,Tuesday,3,1,2023
2023-03-29,PROD_0001,Product 0001,Home & Garden,Home & Garden,151,74.05,11181.25,211,0,Wednesday,3,1,2023
2023-03-30,PROD_0001,Product 0001,Home & Garden,Home & Garden,173,249.12,43097.92,469,0,Thursday,3,1,2023
2023-03-31,PROD_0001,Product 0001,Home & Garden,Home & Garden,95,370.14,35162.94,594,0,Friday,3,1,2023
2023-04-01,PROD_0001,Product 0001,Home & Garden,Home & Garden,195,291.97,56934.04,314,1,Saturday,4,2,2023
2023-04-02,PROD_0001,Product 0001,Home & Garden,Home & Garden,158,290.7,45931.29,661,0,Sunday,4,2,2023
2023-04-03,PROD_0001,Product 0001,Home & Garden,Home & Garden,124,391.71,48572.58,349,0,Monday,4,2,2023
2023-04-04,PROD_0001,Product 0001,Home & Garden,Home & Garden,65,411.69,26759.54,242,0,Tuesday,4,2,2023
2023-04-05,PROD_0001,Product 0001,Home & Garden,Home & Garden,135,414.06,55897.91,117,0,Wednesday,4,2,2023
2023-04-06,PROD_0001,Product 0001,Home & Garden,Home & Garden,155,96.9,15018.95,440,0,Thursday,4,2,2023
2023-04-07,PROD_0001,Product 0001,Home & Garden,Home & Garden,80,396.08,31686.28,409,0,Friday,4,2,2023
2023-04-08,PROD_0001,Product 0001,Home & Garden,Home & Garden,266,218.8,58199.84,112,0,Saturday,4,2,2023
2023-04-09,PROD_0001,Product 0001,Home & Garden,Home & Garden,205,52.84,10831.51,510,0,Sunday,4,2,2023
2023-04-10,PROD_0001,Product 0001,Home & Garden,Home & Garden,151,246.68,37248.75,689,0,Monday,4,2,2023
2023-04-11,PROD_0001,Product 0001,Home & Garden,Home & Garden,187,112.87,21105.94,595,0,Tuesday,4,2,2023
2023-04-12,PROD_0001,Product 0001,Home & Garden,Home & Garden,186,361.84,67301.63,970,0,Wednesday,4,2,2023
2023-04-13,PROD_0001,Product 0001,Home & Garden,Home & Garden,166,66.65,11064.15,955,1,Thursday,4,2,2023
2023-04-14,PROD_0001,Product 0001,Home & Garden,Home & Garden,143,74.18,10607.68,136,0,Friday,4,2,2023
2023-04-15,PROD_0001,Product 0001,Home & Garden,Home & Garden,193,330.72,63829.22,348,0,Saturday,4,2,2023
2023-04-16,PROD_0001,Product 0001,Home & Garden,Home & Garden,162,375.83,60884.49,797,0,Sunday,4,2,2023
2023-04-17,PROD_0001,Product 0001,Home & Garden,Home & Garden,113,346.69,39175.89,600,0,Monday,4,2,2023
2023-04-18,PROD_0001,Product 0001,Home & Garden,Home & Garden,110,215.11,23661.84,294,0,Tuesday,4,2,2023
2023-04-19,PROD_0001,Product 0001,Home & Garden,Home & Garden,137,271.13,37144.8,992,0,Wednesday,4,2,2023
2023-04-20,PROD_0001,Product 0001,Home & Garden,Home & Garden,153,440.32,67369.48,973,0,Thursday,4,2,2023
2023-04-21,PROD_0001,Product 0001,Home & Garden,Home & Garden,137,214.04,29324.06,178,0,Friday,4,2,2023
2023-04-22,PROD_0001,Product 0001,Home & Garden,Home & Garden,112,82.84,9278.57,668,0,Saturday,4,2,2023
2023-04-23,PROD_0001,Product 0001,Home & Garden,Home & Garden,187,524.05,97997.84,996,0,Sunday,4,2,2023
2023-04-24,PROD_0001,Product 0001,Home & Garden,Home & Garden,175,75.4,13194.58,833,0,Monday,4,2,2023
2023-04-25,PROD_0001,Product 0001,Home & Garden,Home & Garden,120,380.3,45635.97,227,0,Tuesday,4,2,2023
2023-04-26,PROD_0001,Product 0001,Home & Garden,Home & Garden,153,306.08,46830.14,647,0,Wednesday,4,2,2023
2023-04-27,PROD_0001,Product 0001,Home & Garden,Home & Garden,151,373.06,56332.07,754,0,Thursday,4,2,2023
2023-04-28,PROD_0001,Product 0001,Home & Garden,Home & Garden,103,368.08,37911.85,659,0,Friday,4,2,2023
2023-04-29,PROD_0001,Product 0001,Home & Garden,Home & Garden,175,204.85,35848.52,301,0,Saturday,4,2,2023
2023-04-30,PROD_0001,Product 0001,Home & Garden,Home & Garden,200,423.84,84767.36,209,0,Sunday,4,2,2023
2023-05-01,PROD_0001,Product 0001,Home & Garden,Home & Garden,121,381.05,46106.89,839,0,Monday,5,2,2023
2023-05-02,PROD_0001,Product 0001,Home & Garden,Home & Garden,137,378.17,51809.19,904,0,Tuesday,5,2,2023
2023-05-03,PROD_0001,Product 0001,Home & Garden,Home & Garden,123,458.97,56453.45,813,0,Wednesday,5,2,2023
2023-05-04,PROD_0001,Product 0001,Home & Garden,Home & Garden,121,85.39,10332.13,982,1,Thursday,5,2,2023
2023-05-05,PROD_0001,Product 0001,Home & Garden,Home & Garden,120,293.67,35240.48,968,0,Friday,5,2,2023
2023-05-06,PROD_0001,Product 0001,Home & Garden,Home & Garden,191,117.11,22367.58,665,0,Saturday,5,2,2023
2023-05-07,PROD_0001,Product 0001,Home & Garden,Home & Garden,183,446.57,81722.43,209,0,Sunday,5,2,2023
2023-05-08,PROD_0001,Product 0001,Home & Garden,Home & Garden,58,468.05,27147.12,954,0,Monday,5,2,2023
2023-05-09,PROD_0001,Product 0001,Home & Garden,Home & Garden,112,250.08,28008.78,855,0,Tuesday,5,2,2023
2023-05-10,PROD_0001,Product 0001,Home & Garden,Home & Garden,111,374.99,41623.45,665,0,Wednesday,5,2,2023
2023-05-11,PROD_0001,Product 0001,Home & Garden,Home & Garden,92,447.13,41136.06,629,0,Thursday,5,2,2023
2023-05-12,PROD_0001,Product 0001,Home & Garden,Home & Garden,132,255.01,33660.97,326,0,Friday,5,2,2023
2023-05-13,PROD_0001,Product 0001,Home & Garden,Home & Garden,154,121.84,18763.07,31,0,Saturday,5,2,2023
2023-05-14,PROD_0001,Product 0001,Home & Garden,Home & Garden,153,308.5,47201.22,143,0,Sunday,5,2,2023
2023-05-15,PROD_0001,Product 0001,Home & Garden,Home & Garden,154,221.49,34109.27,677,0,Monday,5,2,2023
2023-05-16,PROD_0001,Product 0001,Home & Garden,Home & Garden,49,58.46,2864.44,54,1,Tuesday,5,2,2023
2023-05-17,PROD_0001,Product 0001,Home & Garden,Home & Garden,82,319.62,26208.62,86,1,Wednesday,5,2,2023
2023-05-18,PROD_0001,Product 0001,Home & Garden,Home & Garden,98,452.43,44338.52,7,0,Thursday,5,2,2023
2023-05-19,PROD_0001,Product 0001,Home & Garden,Home & Garden,100,306.64,30664.2,53,0,Friday,5,2,2023
2023-05-20,PROD_0001,Product 0001,Home & Garden,Home & Garden,129,311.42,40173.78,603,0,Saturday,5,2,2023
2023-05-21,PROD_0001,Product 0001,Home & Garden,Home & Garden,146,389.8,56910.68,490,1,Sunday,5,2,2023
2023-05-22,PROD_0001,Product 0001,Home & Garden,Home & Garden,108,438.82,47393.02,909,0,Monday,5,2,2023
2023-05-23,PROD_0001,Product 0001,Home & Garden,Home & Garden,75,475.81,35686.09,915,0,Tuesday,5,2,2023
2023-05-24,PROD_0001,Product 0001,Home & Garden,Home & Garden,164,402.96,66084.72,118,0,Wednesday,5,2,2023
2023-05-25,PROD_0001,Product 0001,Home & Garden,Home & Garden,85,276.92,23538.18,939,0,Thursday,5,2,2023
2023-05-26,PROD_0001,Product 0001,Home & Garden,Home & Garden,164,514.81,84428.22,592,0,Friday,5,2,2023
2023-05-27,PROD_0001,Product 0001,Home & Garden,Home & Garden,187,395.92,74036.54,114,0,Saturday,5,2,2023
2023-05-28,PROD_0001,Product 0001,Home & Garden,Home & Garden,153,388.28,59406.45,280,0,Sunday,5,2,2023
2023-05-29,PROD_0001,Product 0001,Home & Garden,Home & Garden,123,494.89,60871.08,108,0,Monday,5,2,2023
2023-05-30,PROD_0001,Product 0001,Home & Garden,Home & Garden,113,367.0,41471.33,127,0,Tuesday,5,2,2023
2023-05-31,PROD_0001,Product 0001,Home & Garden,Home & Garden,76,290.07,22045.6,377,0,Wednesday,5,2,2023
2023-06-01,PROD_0001,Product 0001,Home & Garden,Home & Garden,115,57.74,6640.53,26,1,Thursday,6,2,2023
2023-06-02,PROD_0001,Product 0001,Home & Garden,Home & Garden,108,314.3,33943.95,454,0,Friday,6,2,2023
2023-06-03,PROD_0001,Product 0001,Home & Garden,Home & Garden,162,412.63,66845.67,701,0,Saturday,6,2,2023
2023-06-04,PROD_0001,Product 0001,Home & Garden,Home & Garden,123,289.98,35667.92,148,0,Sunday,6,2,2023
2023-06-05,PROD_0001,Product 0001,Home & Garden,Home & Garden,107,242.86,25985.85,186,0,Monday,6,2,2023
2023-06-06,PROD_0001,Product 0001,Home & Garden,Home & Garden,81,364.48,29523.19,68,0,Tuesday,6,2,2023
2023-06-07,PROD_0001,Product 0001,Home & Garden,Home & Garden,162,143.39,23229.19,466,0,Wednesday,6,2,2023
2023-06-08,PROD_0001,Product 0001,Home & Garden,Home & Garden,102,292.43,29827.48,153,0,Thursday,6,2,2023
2023-06-09,PROD_0001,Product 0001,Home & Garden,Home & Garden,88,173.44,15262.78,640,0,Friday,6,2,2023
2023-06-10,PROD_0001,Product 0001,Home & Garden,Home & Garden,115,139.08,15994.28,228,0,Saturday,6,2,2023
2023-06-11,PROD_0001,Product 0001,Home & Garden,Home & Garden,186,436.26,81145.14,523,0,Sunday,6,2,2023
2023-06-12,PROD_0001,Product 0001,Home & Garden,Home & Garden,73,296.08,21614.07,775,0,Monday,6,2,2023
2023-06-13,PROD_0001,Product 0001,Home & Garden,Home & Garden,97,399.05,38707.44,975,0,Tuesday,6,2,2023
2023-06-14,PROD_0001,Product 0001,Home & Garden,Home & Garden,101,129.94,13123.93,876,0,Wednesday,6,2,2023
2023-06-15,PROD_0001,Product 0001,Home & Garden,Home & Garden,65,32.2,2092.98,400,0,Thursday,6,2,2023
2023-06-16,PROD_0001,Product 0001,Home & Garden,Home & Garden,121,27.69,3349.9,136,0,Friday,6,2,2023
2023-06-17,PROD_0001,Product 0001,Home & Garden,Home & Garden,137,65.45,8966.35,476,0,Saturday,6,2,2023
2023-06-18,PROD_0001,Product 0001,Home & Garden,Home & Garden,134,177.3,23758.58,272,0,Sunday,6,2,2023
2023-06-19,PROD_0001,Product 0001,Home & Garden,Home & Garden,103,190.99,19672.14,812,0,Monday,6,2,2023
2023-06-20,PROD_0001,Product 0001,Home & Garden,Home & Garden,79,333.39,26338.2,526,0,Tuesday,6,2,2023
2023-06-21,PROD_0001,Product 0001,Home & Garden,Home & Garden,131,282.67,37029.71,396,0,Wednesday,6,2,2023
2023-06-22,PROD_0001,Product 0001,Home & Garden,Home & Garden,108,112.34,12132.83,169,1,Thursday,6,2,2023
2023-06-23,PROD_0001,Product 0001,Home & Garden,Home & Garden,123,9.48,1166.04,273,1,Friday,6,2,2023
2023-06-24,PROD_0001,Product 0001,Home & Garden,Home & Garden,169,206.11,34833.13,696,0,Saturday,6,2,2023
2023-06-25,PROD_0001,Product 0001,Home & Garden,Home & Garden,113,140.22,15844.3,925,0,Sunday,6,2,2023
2023-06-26,PROD_0001,Product 0001,Home & Garden,Home & Garden,138,117.11,16160.74,141,0,Monday,6,2,2023
2023-06-27,PROD_0001,Product 0001,Home & Garden,Home & Garden,91,446.33,40615.94,292,0,Tuesday,6,2,2023
2023-06-28,PROD_0001,Product 0001,Home & Garden,Home & Garden,59,323.7,19098.17,804,0,Wednesday,6,2,2023
2023-06-29,PROD_0001,Product 0001,Home & Garden,Home & Garden,75,52.92,3969.33,439,0,Thursday,6,2,2023
2023-06-30,PROD_0001,Product 0001,Home & Garden,Home & Garden,121,518.78,62772.13,771,0,Friday,6,2,2023
2023-07-01,PROD_0001,Product 0001,Home & Garden,Home & Garden,118,486.06,57355.48,884,0,Saturday,7,3,2023
2023-07-02,PROD_0001,Product 0001,Home & Garden,Home & Garden,102,510.32,52052.33,516,0,Sunday,7,3,2023
2023-07-03,PROD_0001,Product 0001,Home & Garden,Home & Garden,85,522.08,44376.53,98,0,Monday,7,3,2023
2023-07-04,PROD_0001,Product 0001,Home & Garden,Home & Garden,54,262.01,14148.48,144,0,Tuesday,7,3,2023
2023-07-05,PROD_0001,Product 0001,Home & Garden,Home & Garden,90,387.18,34845.81,119,0,Wednesday,7,3,2023
2023-07-06,PROD_0001,Product 0001,Home & Garden,Home & Garden,84,192.52,16171.31,540,0,Thursday,7,3,2023
2023-07-07,PROD_0001,Product 0001,Home & Garden,Home & Garden,108,512.91,55394.08,520,0,Friday,7,3,2023
2023-07-08,PROD_0001,Product 0001,Home & Garden,Home & Garden,116,140.57,16305.64,37,0,Saturday,7,3,2023
2023-07-09,PROD_0001,Product 0001,Home & Garden,Home & Garden,118,364.18,42972.68,453,1,Sunday,7,3,2023
2023-07-10,PROD_0001,Product 0001,Home & Garden,Home & Garden,87,460.67,40078.31,39,0,Monday,7,3,2023
2023-07-11,PROD_0001,Product 0001,Home & Garden,Home & Garden,106,273.83,29025.59,261,0,Tuesday,7,3,2023
2023-07-12,PROD_0001,Product 0001,Home & Garden,Home & Garden,79,81.18,6413.32,780,0,Wednesday,7,3,2023
2023-07-13,PROD_0001,Product 0001,Home & Garden,Home & Garden,97,364.43,35350.13,190,0,Thursday,7,3,2023
2023-07-14,PROD_0001,Product 0001,Home & Garden,Home & Garden,90,477.72,42995.02,30,0,Friday,7,3,2023
2023-07-15,PROD_0001,Product 0001,Home & Garden,Home & Garden,109,70.73,7710.02,669,1,Saturday,7,3,2023
2023-07-16,PROD_0001,Product 0001,Home & Garden,Home & Garden,93,95.93,8921.63,666,1,Sunday,7,3,2023
2023-07-17,PROD_0001,Product 0001,Home & Garden,Home & Garden,103,304.24,31336.29,699,0,Monday,7,3,2023
2023-07-18,PROD_0001,Product 0001,Home & Garden,Home & Garden,82,134.5,11029.23,232,1,Tuesday,7,3,2023
2023-07-19,PROD_0001,Product 0001,Home & Garden,Home & Garden,90,182.23,16400.33,221,0,Wednesday,7,3,2023
2023-07-20,PROD_0001,Product 0001,Home & Garden,Home & Garden,76,422.4,32102.68,191,0,Thursday,7,3,2023
2023-07-21,PROD_0001,Product 0001,Home & Garden,Home & Garden,96,43.71,4196.02,704,0,Friday,7,3,2023
2023-07-22,PROD_0001,Product 0001,Home & Garden,Home & Garden,163,294.24,47961.37,28,0,Saturday,7,3,2023
2023-07-23,PROD_0001,Product 0001,Home & Garden,Home & Garden,94,168.19,15809.5,946,0,Sunday,7,3,2023
2023-07-24,PROD_0001,Product 0001,Home & Garden,Home & Garden,100,64.33,6433.07,270,0,Monday,7,3,2023
2023-07-25,PROD_0001,Product 0001,Home & Garden,Home & Garden,86,330.36,28411.26,129,0,Tuesday,7,3,2023
2023-07-26,PROD_0001,Product 0001,Home & Garden,Home & Garden,77,475.68,36627.38,439,0,Wednesday,7,3,2023
2023-07-27,PROD_0001,Product 0001,Home & Garden,Home & Garden,80,464.79,37183.05,954,1,Thursday,7,3,2023
2023-07-28,PROD_0001,Product 0001,Home & Garden,Home & Garden,80,157.02,12561.43,933,0,Friday,7,3,2023
2023-07-29,PROD_0001,Product 0001,Home & Garden,Home & Garden,151,103.69,15657.44,792,0,Saturday,7,3,2023
2023-07-30,PROD_0001,Product 0001,Home & Garden,Home & Garden,84,257.36,21618.4,984,0,Sunday,7,3,2023
2023-07-31,PROD_0001,Product 0001,Home & Garden,Home & Garden,136,411.69,55990.28,685,0,Monday,7,3,2023
2023-08-01,PROD_0001,Product 0001,Home & Garden,Home & Garden,83,453.63,37651.11,526,0,Tuesday,8,3,2023
2023-08-02,PROD_0001,Product 0001,Home & Garden,Home & Garden,71,62.42,4431.99,235,0,Wednesday,8,3,2023
2023-08-03,PROD_0001,Product 0001,Home & Garden,Home & Garden,50,91.5,4574.78,500,0,Thursday,8,3,2023
2023-08-04,PROD_0001,Product 0001,Home & Garden,Home & Garden,80,385.6,30848.19,716,0,Friday,8,3,2023
2023-08-05,PROD_0001,Product 0001,Home & Garden,Home & Garden,140,223.17,31243.45,165,0,Saturday,8,3,2023
2023-08-06,PROD_0001,Product 0001,Home & Garden,Home & Garden,89,375.79,33445.19,101,1,Sunday,8,3,2023
2023-08-07,PROD_0001,Product 0001,Home & Garden,Home & Garden,91,75.03,6827.47,45,0,Monday,8,3,2023
2023-08-08,PROD_0001,Product 0001,Home & Garden,Home & Garden,89,260.47,23181.68,659,0,Tuesday,8,3,2023
2023-08-09,PROD_0001,Product 0001,Home & Garden,Home & Garden,76,405.5,30817.87,588,0,Wednesday,8,3,2023
2023-08-10,PROD_0001,Product 0001,Home & Garden,Home & Garden,62,189.47,11747.2,870,0,Thursday,8,3,2023
2023-08-11,PROD_0001,Product 0001,Home & Garden,Home & Garden,90,31.21,2808.75,871,0,Friday,8,3,2023
2023-08-12,PROD_0001,Product 0001,Home & Garden,Home & Garden,110,322.81,35508.64,773,0,Saturday,8,3,2023
2023-08-13,PROD_0001,Product 0001,Home & Garden,Home & Garden,65,510.14,33159.31,859,0,Sunday,8,3,2023
2023-08-14,PROD_0001,Product 0001,Home & Garden,Home & Garden,89,187.43,16681.56,6,0,Monday,8,3,2023
2023-08-15,PROD_0001,Product 0001,Home & Garden,Home & Garden,111,392.57,43575.59,126,0,Tuesday,8,3,2023
